ID	nrOfMatches_AmplifierWordu46Amplifier	nrOfMatches_BeWordu46BeAsMainVerb	nrOfMatches_CausativeAdverbialSubordinatorWordu46CausativeAdverbialSubordinator	nrOfMatches_ConcessiveAdverbialSubordinatorWordu46ConcessiveAdverbialSubordinator	nrOfMatches_ConditionalAdverbialSubordinatorWordu46ConditionalAdverbialSubordinator	nrOfMatches_DemonstrativeWordu46Demonstrative	nrOfMatches_DowntonerWordu46Downtoner	nrOfMatches_EmphaticWordu46Emphatic	nrOfMatches_HedgeWordu46Hedge	nrOfMatches_InfinitiveWordu46Infinitive	nrOfMatches_OtherAdverbialSubordinatorWordu46OtherAdverbialSubordinator	nrOfMatches_PassivesWordu46AgentlessPassive	nrOfMatches_PassivesWordu46ByPassive	nrOfMatches_PronounWordu46ItPronoun	nrOfMatches_ThatComplementWordu46ThatAdjectiveComplement	nrOfMatches_ThatComplementWordu46ThatVerbComplement	nrOfMatches_WHClauseWordu46WH_Clause	outcome
1046	3.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	9
1047	0.0	0.0	0.0	0.0	1.0	16.0	4.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	11
1048	1.0	0.0	4.0	0.0	2.0	16.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	10
1049	0.0	0.0	3.0	1.0	3.0	14.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	10
104	0.0	0.0	3.0	0.0	5.0	4.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	2.0	1.0	10
1050	2.0	0.0	1.0	0.0	1.0	9.0	5.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	11
1051	0.0	0.0	5.0	0.0	5.0	7.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	1.0	0.0	7
1052	0.0	0.0	3.0	0.0	2.0	7.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	9
1053	0.0	0.0	1.0	0.0	2.0	9.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	1.0	9
1054	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8
1055	0.0	0.0	0.0	0.0	1.0	8.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	8
1056	0.0	0.0	0.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	6
1057	0.0	0.0	4.0	0.0	2.0	10.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	10
1058	1.0	0.0	2.0	0.0	1.0	8.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	1.0	8
1059	0.0	0.0	5.0	0.0	4.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	8
105	0.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9
1060	0.0	0.0	2.0	0.0	1.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	8
1061	0.0	0.0	4.0	0.0	1.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8
1062	0.0	0.0	1.0	0.0	1.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	10
1063	2.0	0.0	0.0	0.0	6.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	10
1064	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	3.0	0.0	9
1065	0.0	0.0	7.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	7
1066	1.0	0.0	1.0	0.0	1.0	9.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	9
1067	1.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	9
1068	1.0	0.0	0.0	0.0	2.0	11.0	1.0	9.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	9
1069	9.0	0.0	5.0	1.0	1.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	10
106	1.0	0.0	0.0	0.0	3.0	6.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	11
1070	0.0	0.0	3.0	0.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7
1071	0.0	0.0	2.0	0.0	1.0	7.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0	8
1072	0.0	0.0	0.0	1.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8
1073	1.0	0.0	7.0	0.0	2.0	11.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	2.0	0.0	8
1074	3.0	0.0	2.0	0.0	3.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8
1075	1.0	0.0	1.0	0.0	2.0	6.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	8
1076	4.0	0.0	0.0	0.0	1.0	18.0	1.0	6.0	1.0	0.0	1.0	0.0	0.0	12.0	0.0	4.0	0.0	10
1077	0.0	0.0	4.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	8
1078	1.0	0.0	4.0	1.0	2.0	8.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	12
1079	0.0	0.0	1.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	8
107	1.0	0.0	8.0	0.0	1.0	14.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	2.0	2.0	10
1080	0.0	0.0	1.0	0.0	0.0	9.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1081	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
1082	0.0	0.0	2.0	0.0	4.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	9
1083	1.0	0.0	1.0	0.0	0.0	5.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7
1084	1.0	0.0	1.0	0.0	5.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	9
1085	1.0	0.0	1.0	0.0	0.0	7.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	10
1086	1.0	0.0	3.0	1.0	3.0	6.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	8
1087	0.0	0.0	0.0	0.0	0.0	10.0	1.0	10.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	11
1088	0.0	0.0	0.0	0.0	1.0	9.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	8
1089	0.0	0.0	2.0	0.0	3.0	3.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	8
108	1.0	0.0	1.0	0.0	3.0	7.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	8
1090	1.0	0.0	0.0	0.0	5.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	6
1091	1.0	0.0	0.0	0.0	1.0	9.0	3.0	5.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	10
1092	1.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	10
1093	1.0	0.0	2.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8
1094	2.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	8
1095	1.0	0.0	0.0	0.0	1.0	7.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	8
1096	0.0	0.0	1.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	4
1097	2.0	0.0	1.0	1.0	3.0	9.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	10
1098	0.0	0.0	3.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9
1099	0.0	0.0	5.0	0.0	1.0	9.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	8
109	1.0	0.0	3.0	1.0	0.0	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	2.0	1.0	8
10	1.0	0.0	6.0	0.0	4.0	15.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	1.0	9
1100	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	9
1101	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1102	0.0	0.0	1.0	0.0	3.0	5.0	0.0	5.0	2.0	0.0	1.0	0.0	0.0	8.0	0.0	1.0	1.0	8
1103	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	6
1104	1.0	0.0	5.0	0.0	0.0	12.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	10
1105	1.0	0.0	1.0	0.0	2.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	1.0	0.0	9
1106	1.0	0.0	0.0	0.0	3.0	11.0	1.0	6.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	9
1107	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4
1108	0.0	0.0	0.0	0.0	0.0	4.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	9
1109	2.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8
110	2.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6
1110	0.0	0.0	2.0	0.0	3.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	8
1111	3.0	0.0	3.0	0.0	1.0	14.0	3.0	9.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	1.0	0.0	11
1112	0.0	0.0	5.0	0.0	2.0	8.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8
1113	3.0	0.0	2.0	0.0	1.0	14.0	0.0	17.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	5.0	1.0	10
1114	1.0	0.0	2.0	0.0	1.0	11.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	10
1115	1.0	0.0	0.0	0.0	5.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9
1116	0.0	0.0	1.0	0.0	0.0	6.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8
1117	0.0	0.0	1.0	0.0	3.0	19.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	7
1118	0.0	0.0	1.0	0.0	0.0	9.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	8
1119	0.0	0.0	0.0	0.0	3.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	9
111	1.0	0.0	2.0	0.0	0.0	6.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	11
1120	0.0	0.0	1.0	0.0	2.0	7.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0	8
1121	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2
1122	1.0	0.0	0.0	0.0	1.0	10.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	10
1123	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	6
1124	3.0	0.0	2.0	0.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	9
1125	0.0	0.0	2.0	0.0	2.0	10.0	2.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1126	6.0	0.0	4.0	0.0	2.0	7.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	10
1127	1.0	0.0	1.0	0.0	0.0	7.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	8
1128	0.0	0.0	1.0	0.0	3.0	4.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	8
1129	0.0	0.0	5.0	0.0	0.0	14.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	8
112	0.0	0.0	1.0	0.0	2.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	9
1130	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6
1132	0.0	0.0	4.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	8
1133	1.0	0.0	1.0	0.0	2.0	7.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	12
1134	0.0	0.0	0.0	1.0	1.0	1.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	6
1135	1.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	11
1136	1.0	0.0	0.0	0.0	3.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	8
1137	0.0	0.0	1.0	0.0	2.0	3.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	1.0	1.0	8
1138	0.0	2.0	1.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8
1139	1.0	0.0	0.0	0.0	1.0	6.0	2.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10
113	0.0	0.0	1.0	0.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8
1140	1.0	0.0	2.0	0.0	1.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9
1141	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	6
1142	0.0	0.0	1.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	2.0	0.0	8
1143	1.0	0.0	1.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	8
1144	2.0	0.0	1.0	1.0	3.0	5.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1.0	0.0	11
1145	0.0	0.0	1.0	0.0	2.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	9
1146	1.0	0.0	1.0	2.0	1.0	9.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	8
1147	1.0	0.0	0.0	0.0	1.0	9.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	9
1148	3.0	0.0	6.0	0.0	0.0	5.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	7.0	0.0	3.0	1.0	9
1149	3.0	0.0	0.0	0.0	0.0	5.0	1.0	8.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	10
114	4.0	0.0	0.0	0.0	5.0	7.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	1.0	1.0	8
1150	2.0	0.0	1.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8
1151	0.0	0.0	0.0	0.0	1.0	15.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10
1152	0.0	0.0	4.0	0.0	1.0	10.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	6.0	1.0	8
1153	1.0	0.0	1.0	0.0	1.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	9
1154	1.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	1.0	8
1155	4.0	0.0	0.0	0.0	0.0	5.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	8
1156	2.0	0.0	4.0	0.0	1.0	23.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	10
1157	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6
1158	0.0	0.0	4.0	0.0	2.0	22.0	3.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	9
1159	1.0	0.0	2.0	0.0	2.0	9.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	12
115	0.0	0.0	1.0	0.0	0.0	3.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	9
1160	2.0	0.0	4.0	0.0	3.0	3.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	1.0	1.0	8
1161	3.0	0.0	1.0	0.0	1.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	1.0	8
